bot_id x y ang enc0 enc1 enc2 enc3
6 2451.46 -1177.88 1.48449 0 0 0 0
6 2456.61 -1177.04 1.46944 0 0 0 0
6 2453.99 -1175.43 1.47952 0 0 0 0
6 2450.48 -1178.02 1.47516 0 0 0 0
6 2456.04 -1175.12 1.48188 0 0 0 0
6 2451.75 -1177.95 1.47758 0 0 0 0
6 2454.87 -1176.5 1.49438 0 0 0 0
6 2455.35 -1175.6 1.49042 0 0 0 0
6 2454.68 -1175.38 1.46833 0 0 0 0
6 2453.99 -1175.43 1.47749 0 0 0 0
6 2454.68 -1175.38 1.47926 0 0 0 0
6 2457.76 -1175.67 1.50192 0 0 0 0
6 2457.63 -1176.7 1.47601 0 0 0 0
6 2455.27 -1175.97 1.47039 0 0 0 0
6 2456.15 -1175.64 1.48248 0 0 0 0
6 2453.99 -1175.43 1.48882 0 0 0 0
6 2456.64 -1175.96 1.47216 0 0 0 0
6 2452.86 -1179.39 1.47466 0 0 0 0
6 2451.29 -1178.37 1.48656 0 0 0 0
6 2455.76 -1176.69 1.48002 0 0 0 0
6 2453.51 -1180.79 1.48465 0 0 0 0
6 2456.84 -1176.77 1.47969 0 0 0 0
6 2456.86 -1175.71 1.48805 0 0 0 0
6 2456.61 -1175.09 1.49446 0 0 0 0
6 2456.16 -1178.05 1.4792 0 0 0 0
6 2456.01 -1176.07 1.47884 0 0 0 0
6 2457.08 -1178.28 1.47723 0 0 0 0
6 2461.04 -1178.31 1.49451 0 0 0 0
6 2455.49 -1176.67 1.46924 0 0 0 0
6 2457.64 -1179.93 1.47082 0 0 0 0
6 2454.13 -1175.84 1.48494 0 0 0 0
6 2451.24 -1178.5 1.48368 0 0 0 0
6 2454.41 -1175.22 1.4831 0 0 0 0
6 2458.07 -1176.86 1.47876 0 0 0 0
6 2455.76 -1176.69 1.47341 0 0 0 0
6 2454.35 -1181.56 1.48327 0 0 0 0
6 2456.63 -1177.14 1.49552 0 0 0 0
6 2450.88 -1180.31 1.4782 0 0 0 0
6 2459.43 -1180.35 1.47909 0 0 0 0
6 2457.04 -1176.04 1.48503 0 0 0 0
6 2455.64 -1179.11 1.48041 0 0 0 0
6 2456.15 -1175.64 1.48635 0 0 0 0
6 2454.32 -1176.59 1.47883 0 0 0 0
6 2456.26 -1176.44 1.49005 0 0 0 0
6 2456.41 -1174.76 1.47776 0 0 0 0
6 2457.87 -1175.78 1.49265 0 0 0 0
6 2451.6 -1178.37 1.47967 0 0 0 0
6 2457.2 -1178.14 1.48399 0 0 0 0
6 2453.74 -1179.79 1.48988 0 0 0 0
6 2453.92 -1177.22 1.49353 0 0 0 0
6 2455.24 -1177.56 1.47368 0 0 0 0
6 2456.56 -1181.27 1.48859 0 0 0 0
6 2456.81 -1177.21 1.4916 0 0 0 0
6 2456.89 -1175.98 1.48542 0 0 0 0
6 2456.6 -1176.26 1.48366 0 0 0 0
6 2458.67 -1178.23 1.47928 0 0 0 0
6 2456.45 -1177.36 1.4795 0 0 0 0
6 2456.35 -1180.71 1.48859 0 0 0 0
6 2455.4 -1177.12 1.48074 0 0 0 0
6 2456.5 -1176.17 1.48133 0 0 0 0
6 2455.85 -1174.78 1.48465 0 0 0 0
6 2457.35 -1177.6 1.47803 0 0 0 0
6 2458.62 -1180.07 1.48098 0 0 0 0
6 2454.75 -1175.93 1.475 0 0 0 0
6 2458.62 -1175.74 1.48811 0 0 0 0
6 2451.77 -1178.27 1.47424 0 0 0 0
6 2454.13 -1178.81 1.48227 0 0 0 0
6 2456.19 -1177.14 1.49168 0 0 0 0
6 2455.92 -1179.14 1.48822 0 0 0 0
6 2456.81 -1177.3 1.49117 0 0 0 0
6 2458.07 -1177.39 1.48108 0 0 0 0
6 2454.22 -1179.65 1.50165 0 0 0 0
6 2456.19 -1177.14 1.47937 0 0 0 0
6 2456.18 -1178.46 1.48021 0 0 0 0
6 2457.77 -1176.34 1.48361 0 0 0 0
6 2457.89 -1178.36 1.4816 0 0 0 0
6 2454.69 -1175.87 1.47941 0 0 0 0
6 2458.1 -1177.11 1.49333 0 0 0 0
6 2457.33 -1178.52 1.49189 0 0 0 0
6 2459.67 -1182.24 1.48606 0 0 0 0
6 2456.83 -1179.6 1.48982 0 0 0 0
6 2458.45 -1178.48 1.48061 0 0 0 0
6 2460.43 -1181.37 1.46907 0 0 0 0
6 2457.72 -1177.43 1.49357 0 0 0 0
6 2455.67 -1179.13 1.49253 0 0 0 0
6 2458.57 -1177.93 1.48462 0 0 0 0
6 2459.46 -1178.47 1.49119 0 0 0 0
6 2457.27 -1179.78 1.48046 0 0 0 0
6 2457.1 -1178.97 1.47998 0 0 0 0
6 2456.39 -1175.94 1.49018 0 0 0 0
6 2455.88 -1178.77 1.48018 0 0 0 0
6 2457.56 -1179.3 1.48803 0 0 0 0
6 2454.05 -1179.13 1.47808 0 0 0 0
6 2458.63 -1177.64 1.48447 0 0 0 0
6 2457.54 -1179.71 1.4746 0 0 0 0
6 2452.79 -1179.78 1.48386 0 0 0 0
6 2456.1 -1178.51 1.49106 0 0 0 0
6 2458.45 -1178.48 1.48848 0 0 0 0
6 2457.33 -1177.5 1.48401 0 0 0 0
6 2457.11 -1181.08 1.48268 0 0 0 0
6 2456.74 -1179.24 1.48833 0 0 0 0
6 2456.18 -1178.46 1.48896 0 0 0 0
6 2458.45 -1178.48 1.47691 0 0 0 0
6 2457.57 -1176.95 1.48984 0 0 0 0
6 2455.2 -1177.7 1.4825 0 0 0 0
6 2458.07 -1177.39 1.47685 0 0 0 0
